"filename", "language", "TypeScript React", "SCSS", "TypeScript", "JSON with Comments", "Markdown", "JSON", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/index.tsx", "TypeScript React", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 121
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/message/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/profile/index.tsx", "TypeScript React", 609, 0, 0, 0, 0, 0, 0, 0, 0, 32, 44, 685
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/schedule/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/students/[id].tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/students/index.tsx", "TypeScript React", 134, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 148
"/home/lin/OdinProject/course-management-system/pages/events.tsx", "TypeScript React", 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 530
"/home/lin/OdinProject/course-management-system/pages/gallery.tsx", "TypeScript React", 523, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 534
"/home/lin/OdinProject/course-management-system/pages/index.tsx", "TypeScript React", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 314
"/home/lin/OdinProject/course-management-system/pages/login.tsx", "TypeScript React", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 112
"/home/lin/OdinProject/course-management-system/pages/register.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/home/lin/OdinProject/course-management-system/providers/messageContext.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/lin/OdinProject/course-management-system/providers/messageReducer.ts", "TypeScript", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 14, 140
"/home/lin/OdinProject/course-management-system/public/address.json", "JSON", 0, 0, 0, 0, 0, 5327, 0, 0, 0, 0, 1, 5328
"/home/lin/OdinProject/course-management-system/public/css/style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1688, 0, 217, 331, 2236
"/home/lin/OdinProject/course-management-system/public/fonts/BebasNeueBold.svg", "XML", 0, 0, 0, 0, 0, 0, 5140, 0, 0, 0, 1, 5141
"/home/lin/OdinProject/course-management-system/public/fonts/BebasNeueBook.svg", "XML", 0, 0, 0, 0, 0, 0, 5190, 0, 0, 0, 1, 5191
"/home/lin/OdinProject/course-management-system/public/fonts/BebasNeueRegular.svg", "XML", 0, 0, 0, 0, 0, 0, 5151, 0, 0, 0, 1, 5152
"/home/lin/OdinProject/course-management-system/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/home/lin/OdinProject/course-management-system/styles/auth.module.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/lin/OdinProject/course-management-system/styles/globals.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/lin/OdinProject/course-management-system/styles/home.module.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/home/lin/OdinProject/course-management-system/tsconfig.json", "JSON with Comments", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"Total", "-", 7751, 242, 1259, 24, 42, 14588, 15485, 1688, 29, 313, 1182, 42603
